iter	Passed	Remaining
399	27877	111508
400	27938	111405
401	28019	111382
402	28040	111117
403	28116	111073
404	28185	111002
405	28209	110754
406	28280	110689
407	28301	110430
408	28365	110341
409	28431	110257
410	28500	110186
411	28567	110109
412	28635	110036
413	28655	109775
414	28672	109507
415	28689	109240
416	28755	109161
417	28777	108913
418	28847	108848
419	28914	108775
420	28982	108702
421	29054	108643
422	29147	108665
423	29226	108634
424	29300	108584
425	29321	108336
426	29400	108306
427	29470	108240
428	29535	108158
429	29553	107905
430	29618	107823
431	29684	107742
432	29761	107705
433	29834	107650
434	29903	107585
435	29969	107504
436	29993	107275
437	30054	107179
438	30072	106933
439	30138	106853
440	30204	106775
441	30271	106704
442	30338	106630
443	30406	106558
444	30469	106473
445	30535	106396
446	30600	106313
447	30666	106239
448	30735	106169
449	30812	106132
450	30880	106061
451	30949	105995
452	31014	105914
453	31079	105835
454	31147	105765
455	31212	105686
456	31286	105634
457	31304	105397
458	31365	105304
459	31431	105228
460	31498	105155
461	31565	105081
462	31633	105011
463	31698	104933
464	31770	104875
465	31841	104817
466	31908	104744
467	31978	104681
468	32044	104605
469	32070	104401
470	32135	104319
471	32214	104289
472	32281	104216
473	32345	104134
474	32408	104049
475	32426	103817
476	32491	103742
477	32543	103622
478	32604	103532
479	32667	103447
480	32686	103222
481	32719	103046
482	32787	102979
483	32858	102919
484	32924	102847
485	32950	102648
486	33015	102570
487	33080	102496
488	33147	102424
489	33213	102351
490	33277	102271
491	33339	102185
492	33403	102107
493	33470	102038
494	33543	101984
495	33608	101908
496	33673	101834
497	33702	101649
498	33770	101583
499	33840	101520
500	33905	101445
501	33976	101389
502	34044	101321
503	34108	101241
504	34179	101183
505	34233	101078
506	34274	100930
507	34307	100760
508	34371	100684
509	34405	100517
510	34468	100437
511	34531	100358
512	34605	100310
513	34672	100238
514	34744	100186
515	34813	100123
516	34883	100060
517	34944	99976
518	35012	99909
519	35079	99841
520	35098	99636
521	35159	99550
522	35226	99482
523	35292	99410
524	35358	99339
525	35421	99260
526	35486	99187
527	35549	99106
528	35619	99048
529	35686	98980
530	35757	98921
531	35813	98822
532	35879	98752
533	35948	98689
534	36013	98617
535	36080	98548
536	36146	98478
537	36211	98404
538	36268	98308
539	36333	98234
540	36366	98076
541	36432	98004
542	36495	97926
543	36573	97888
544	36640	97819
545	36713	97769
546	36784	97710
547	36826	97576
548	36890	97500
549	36925	97350
550	36988	97272
551	37058	97211
552	37119	97127
553	37182	97049
554	37249	96982
555	37313	96907
556	37339	96733
557	37402	96657
558	37465	96577
559	37515	96469
560	37585	96408
561	37652	96341
562	37720	96276
563	37768	96163
564	37833	96091
565	37899	96021
566	37964	95949
567	38031	95881
568	38097	95812
569	38164	95746
570	38231	95678
571	38300	95617
572	38351	95509
573	38416	95437
574	38477	95357
575	38541	95284
576	38560	95098
577	38623	95021
578	38642	94836
579	38708	94769
580	38781	94716
581	38850	94656
582	38917	94590
583	38983	94521
584	39051	94456
585	39114	94381
586	39178	94308
587	39245	94242
588	39313	94178
589	39380	94112
590	39398	93930
591	39460	93852
592	39524	93779
593	39594	93720
594	39660	93651
595	39728	93588
596	39796	93524
597	39822	93363
598	39889	93298
599	39916	93138
600	39976	93056
601	40048	93003
602	40117	92942
603	40143	92783
604	40207	92710
605	40227	92536
606	40292	92466
607	40361	92405
608	40405	92289
609	40469	92216
610	40533	92146
611	40598	92077
612	40666	92014
613	40687	91845
614	40757	91786
615	40824	91722
616	40849	91564
617	40912	91491
618	40979	91425
619	41047	91363
620	41112	91295
621	41176	91224
622	41248	91171
623	41314	91104
624	41383	91043
625	41449	90977
626	41512	90904
627	41578	90836
628	41644	90769
629	41714	90711
630	41751	90583
631	41818	90518
632	41885	90454
633	41954	90393
634	42017	90321
635	42083	90254
636	42148	90185
637	42214	90119
638	42268	90027
639	42334	89959
640	42352	89792
641	42384	89655
642	42401	89485
643	42465	89414
644	42530	89347
645	42598	89284
646	42623	89134
647	42693	89075
648	42763	89018
649	42781	88854
650	42844	88781
651	42909	88714
652	42975	88648
653	43043	88587
654	43095	88494
655	43158	88422
656	43227	88362
657	43291	88293
658	43357	88228
659	43425	88166
660	43488	88095
661	43525	87970
662	43587	87899
663	43635	87796
664	43707	87743
665	43753	87638
666	43817	87570
667	43886	87509
668	43951	87443
669	44014	87372
670	44079	87304
671	44145	87239
672	44212	87177
673	44280	87116
674	44342	87043
675	44405	86971
676	44471	86906
677	44534	86836
678	44603	86775
679	44677	86726
680	44748	86671
681	44812	86603
682	44878	86537
683	44943	86469
684	45007	86401
685	45058	86307
686	45101	86198
687	45167	86133
688	45230	86062
689	45296	85998
690	45367	85942
691	45432	85874
692	45497	85807
693	45560	85738
694	45631	85681
695	45701	85624
696	45770	85566
697	45835	85497
698	45899	85430
699	45964	85362
700	46030	85298
701	46100	85239
702	46170	85181
703	46233	85110
704	46301	85050
705	46366	84983
706	46431	84916
707	46498	84852
708	46564	84788
709	46632	84726
710	46705	84674
711	46772	84610
712	46836	84541
713	46907	84486
714	46970	84415
715	47035	84348
716	47104	84288
717	47170	84223
718	47239	84162
719	47304	84096
720	47381	84051
721	47448	83986
722	47511	83917
723	47577	83851
724	47643	83786
725	47712	83727
726	47783	83670
727	47850	83606
728	47914	83538
729	47978	83469
730	48042	83401
731	48104	83329
732	48169	83260
733	48238	83201
734	48302	83133
735	48365	83062
736	48431	82998
737	48494	82926
738	48545	82836
739	48611	82770
740	48678	82706
741	48744	82641
742	48811	82578
743	48880	82518
744	48943	82449
745	49009	82383
746	49074	82316
747	49137	82246
748	49202	82179
749	49266	82110
750	49331	82044
751	49395	81976
752	49461	81910
753	49533	81854
754	49597	81786
755	49674	81739
756	49740	81674
757	49806	81608
758	49874	81546
759	49940	81481
760	50015	81432
761	50081	81366
762	50146	81298
763	50210	81230
764	50273	81159
765	50341	81097
766	50405	81030
767	50469	80961
768	50534	80894
769	50602	80832
770	50675	80778
771	50745	80719
772	50814	80659
773	50882	80596
774	50948	80531
775	51013	80464
776	51077	80395
777	51142	80329
778	51207	80262
779	51272	80195
780	51337	80127
781	51418	80087
782	51485	80022
783	51549	79954
784	51618	79893
785	51697	79848
786	51763	79782
787	51839	79732
788	51906	79668
789	51973	79605
790	52040	79541
791	52105	79474
792	52170	79407
793	52231	79333
794	52298	79270
795	52365	79206
796	52434	79145
797	52501	79081
798	52568	79016
799	52637	78955
800	52707	78896
801	52779	78839
802	52844	78773
803	52910	78707
804	52976	78641
805	53043	78578
806	53108	78511
807	53174	78445
808	53240	78379
809	53303	78309
810	53367	78242
811	53434	78178
812	53498	78109
813	53570	78052
814	53642	77995
815	53715	77939
816	53780	77873
817	53844	77804
818	53910	77738
819	53975	77672
820	54041	77607
821	54109	77543
822	54174	77477
823	54238	77408
824	54301	77338
825	54367	77273
826	54430	77202
827	54495	77135
828	54559	77068
829	54630	77009
830	54701	76951
831	54768	76885
832	54832	76817
833	54899	76754
834	54967	76691
835	55032	76623
836	55101	76562
837	55165	76495
838	55232	76430
839	55298	76364
840	55362	76296
841	55428	76230
842	55495	76166
843	55570	76112
844	55640	76053
845	55712	75996
846	55780	75931
847	55846	75866
848	55911	75799
849	55975	75731
850	56045	75671
851	56112	75607
852	56183	75547
853	56247	75479
854	56312	75412
855	56375	75343
856	56440	75275
857	56505	75208
858	56574	75147
859	56646	75088
860	56718	75031
861	56783	74965
862	56857	74910
863	56938	74862
864	57014	74810
865	57087	74754
866	57156	74691
867	57227	74632
868	57296	74571
869	57366	74510
870	57433	74445
871	57500	74381
872	57567	74316
873	57639	74258
874	57708	74197
875	57778	74135
876	57841	74065
877	57907	73999
878	57973	73933
879	58039	73868
880	58103	73799
881	58170	73735
882	58237	73671
883	58304	73606
884	58370	73539
885	58434	73472
886	58500	73405
887	58569	73344
888	58640	73284
889	58711	73224
890	58776	73157
891	58845	73094
892	58910	73028
893	58976	72962
894	59042	72895
895	59107	72828
896	59174	72763
897	59243	72701
898	59311	72638
899	59377	72572
900	59444	72507
901	59516	72449
902	59588	72390
903	59661	72333
904	59730	72270
905	59794	72202
906	59859	72134
907	59923	72066
908	59990	72001
909	60055	71934
910	60121	71869
911	60186	71801
912	60251	71734
913	60318	71669
914	60381	71600
915	60447	71533
916	60514	71468
917	60588	71412
918	60658	71351
919	60723	71284
920	60794	71223
921	60857	71154
922	60923	71088
923	60988	71021
924	61055	70956
925	61121	70889
926	61186	70822
927	61251	70756
928	61318	70691
929	61381	70621
930	61446	70554
931	61512	70488
932	61583	70427
933	61651	70364
934	61717	70298
935	61780	70229
936	61846	70163
937	61909	70094
938	61975	70028
939	62047	69967
940	62111	69900
941	62172	69828
942	62240	69764
943	62307	69699
944	62371	69632
945	62438	69567
946	62508	69504
947	62578	69443
948	62648	69382
949	62716	69318
950	62782	69252
951	62848	69186
952	62916	69122
953	62981	69054
954	63046	68988
955	63114	68923
956	63181	68859
957	63245	68791
958	63310	68723
959	63376	68657
960	63443	68592
961	63510	68527
962	63584	68470
963	63652	68406
964	63717	68339
965	63782	68272
966	63850	68208
967	63916	68142
968	63984	68078
969	64027	67987
970	64090	67918
971	64156	67852
972	64222	67786
973	64287	67719
974	64348	67648
975	64416	67584
976	64483	67519
977	64560	67464
978	64630	67403
979	64697	67337
980	64765	67274
981	64828	67205
982	64894	67138
983	64958	67070
984	65024	67005
985	65091	66939
986	65156	66873
987	65223	66807
988	65287	66739
989	65351	66671
990	65415	66603
991	65480	66536
992	65558	66482
993	65629	66421
994	65698	66358
995	65768	66296
996	65827	66223
997	65891	66155
998	65957	66089
999	66023	66023
1000	66089	65957
1001	66158	65894
1002	66228	65832
1003	66294	65766
1004	66362	65701
1005	66426	65633
1006	66486	65562
1007	66559	65502
1008	66628	65439
1009	66692	65372
1010	66763	65310
1011	66830	65245
1012	66897	65180
1013	66963	65114
1014	67028	65047
1015	67096	64982
1016	67166	64921
1017	67232	64854
1018	67297	64787
1019	67365	64724
1020	67432	64658
1021	67504	64598
1022	67577	64538
1023	67646	64475
1024	67712	64409
1025	67782	64347
1026	67850	64282
1027	67917	64217
1028	67983	64151
1029	68049	64085
1030	68116	64020
1031	68182	63953
1032	68247	63887
1033	68312	63820
1034	68380	63755
1035	68447	63690
1036	68515	63626
1037	68586	63564
1038	68657	63503
1039	68724	63437
1040	68786	63368
1041	68855	63304
1042	68920	63237
1043	68986	63171
1044	69053	63106
1045	69117	63038
1046	69185	62974
1047	69252	62908
1048	69316	62840
1049	69381	62773
1050	69446	62706
1051	69517	62644
1052	69591	62586
1053	69661	62523
1054	69731	62461
1055	69798	62395
1056	69866	62330
1057	69931	62264
1058	69997	62197
1059	70054	62123
1060	70122	62059
1061	70186	61991
1062	70255	61927
1063	70321	61861
1064	70386	61794
1065	70452	61728
1066	70523	61666
1067	70593	61603
1068	70658	61536
1069	70726	61472
1070	70790	61404
1071	70856	61338
1072	70922	61271
1073	71000	61216
1074	71065	61149
1075	71133	61084
1076	71202	61021
1077	71269	60956
1078	71336	60890
1079	71399	60821
1080	71467	60757
1081	71538	60695
1082	71609	60633
1083	71675	60566
1084	71741	60500
1085	71807	60434
1086	71869	60365
1087	71936	60299
1088	72003	60234
1089	72071	60169
1090	72148	60112
1091	72213	60045
1092	72278	59978
1093	72346	59913
1094	72413	59848
1095	72476	59780
1096	72549	59719
1097	72615	59653
1098	72679	59584
1099	72744	59518
1100	72809	59451
1101	72884	59392
1102	72949	59325
1103	73015	59259
1104	73080	59192
1105	73147	59126
1106	73213	59060
1107	73282	58995
1108	73344	58926
1109	73409	58860
1110	73480	58797
1111	73547	58732
1112	73617	58668
1113	73683	58602
1114	73753	58540
1115	73820	58474
1116	73887	58408
1117	73955	58344
1118	74023	58279
1119	74090	58213
1120	74154	58146
1121	74220	58079
1122	74285	58012
1123	74351	57946
1124	74418	57881
1125	74487	57817
1126	74559	57755
1127	74632	57694
1128	74714	57640
1129	74791	57582
1130	74856	57515
1131	74939	57462
1132	75014	57402
1133	75079	57336
1134	75154	57276
1135	75231	57218
1136	75308	57159
1137	75374	57093
1138	75458	57041
1139	75532	56980
1140	75610	56923
1141	75677	56857
1142	75749	56795
1143	75826	56736
1144	75902	56678
1145	75967	56611
1146	76033	56544
1147	76109	56485
1148	76198	56436
1149	76269	56373
1150	76337	56308
1151	76402	56240
1152	76472	56177
1153	76549	56118
1154	76635	56066
1155	76705	56002
1156	76774	55938
1157	76842	55873
1158	76911	55809
1159	76989	55751
1160	77082	55703
1161	77150	55638
1162	77212	55569
1163	77280	55503
1164	77345	55436
1165	77429	55382
1166	77515	55330
1167	77591	55270
1168	77658	55204
1169	77725	55138
1170	77792	55072
1171	77857	55004
1172	77933	54945
1173	78017	54891
1174	78092	54830
1175	78155	54762
1176	78223	54696
1177	78288	54629
1178	78351	54560
1179	78422	54496
1180	78511	54445
1181	78590	54388
1182	78657	54322
1183	78720	54253
1184	78788	54187
1185	78854	54121
1186	78922	54055
1187	79006	54000
1188	79083	53941
1189	79148	53874
1190	79232	53819
1191	79317	53765
1192	79381	53697
1193	79458	53637
1194	79543	53583
1195	79613	53519
1196	79681	53453
1197	79745	53385
1198	79810	53317
1199	79876	53251
1200	79945	53185
1201	80017	53122
1202	80086	53058
1203	80153	52991
1204	80218	52924
1205	80284	52857
1206	80352	52791
1207	80422	52727
1208	80493	52663
1209	80565	52600
1210	80634	52535
1211	80703	52470
1212	80773	52406
1213	80837	52338
1214	80898	52267
1215	80966	52201
1216	81031	52134
1217	81096	52066
1218	81159	51997
1219	81226	51931
1220	81295	51866
1221	81359	51798
1222	81429	51733
1223	81500	51670
1224	81569	51605
1225	81636	51538
1226	81702	51472
1227	81766	51403
1228	81830	51335
1229	81894	51267
1230	81959	51200
1231	82024	51132
1232	82095	51068
1233	82163	51002
1234	82230	50936
1235	82296	50869
1236	82360	50801
1237	82428	50735
1238	82499	50671
1239	82564	50604
1240	82626	50534
1241	82693	50468
1242	82756	50399
1243	82821	50332
1244	82887	50265
1245	82955	50199
1246	83022	50132
1247	83089	50066
1248	83165	50005
1249	83229	49937
1250	83294	49870
1251	83364	49805
1252	83432	49739
1253	83503	49675
1254	83571	49609
1255	83639	49544
1256	83704	49476
1257	83770	49410
1258	83838	49344
1259	83904	49277
1260	83971	49210
1261	84039	49145
1262	84103	49077
1263	84171	49011
1264	84236	48943
1265	84302	48876
1266	84369	48810
1267	84442	48747
1268	84514	48683
1269	84581	48617
1270	84648	48551
1271	84710	48482
1272	84777	48415
1273	84847	48351
1274	84916	48285
1275	84980	48217
1276	85045	48150
1277	85111	48083
1278	85179	48017
1279	85244	47950
1280	85310	47883
1281	85376	47815
1282	85446	47751
1283	85516	47686
1284	85582	47619
1285	85650	47554
1286	85716	47486
1287	85780	47419
1288	85848	47353
1289	85916	47287
1290	85982	47220
1291	86049	47154
1292	86115	47086
1293	86182	47020
1294	86246	46952
1295	86311	46885
1296	86378	46818
1297	86453	46757
1298	86523	46691
1299	86588	46624
1300	86657	46559
1301	86731	46496
1302	86799	46430
1303	86865	46363
1304	86931	46297
1305	87000	46231
1306	87066	46164
1307	87136	46099
1308	87201	46032
1309	87268	45965
1310	87335	45899
1311	87407	45835
1312	87479	45771
1313	87550	45707
1314	87620	45642
1315	87690	45577
1316	87754	45509
1317	87820	45442
1318	87885	45375
1319	87952	45308
1320	88022	45244
1321	88088	45176
1322	88155	45110
1323	88219	45042
1324	88281	44973
1325	88350	44908
1326	88421	44843
1327	88492	44779
1328	88561	44714
1329	88630	44648
1330	88696	44581
1331	88758	44512
1332	88827	44446
1333	88902	44384
1334	88969	44318
1335	89035	44251
1336	89100	44183
1337	89163	44115
1338	89228	44047
1339	89295	43981
1340	89363	43915
1341	89433	43850
1342	89504	43785
1343	89568	43718
1344	89634	43650
1345	89700	43583
1346	89766	43517
1347	89834	43450
1348	89902	43384
1349	89969	43318
1350	90033	43250
1351	90099	43183
1352	90167	43117
1353	90230	43049
1354	90295	42981
1355	90365	42916
1356	90438	42853
1357	90504	42786
1358	90568	42718
1359	90637	42653
1360	90701	42585
1361	90766	42517
1362	90831	42450
1363	90896	42382
1364	90962	42315
1365	91030	42249
1366	91094	42182
1367	91163	42116
1368	91228	42048
1369	91295	41982
1370	91363	41916
1371	91438	41853
1372	91506	41787
1373	91572	41720
1374	91637	41653
1375	91703	41586
1376	91770	41519
1377	91837	41453
1378	91903	41386
1379	91968	41319
1380	92039	41254
1381	92105	41187
1382	92170	41120
1383	92237	41053
1384	92303	40986
1385	92371	40920
1386	92440	40855
1387	92508	40788
1388	92572	40721
1389	92639	40654
1390	92707	40588
1391	92774	40522
1392	92838	40454
1393	92906	40388
1394	92974	40322
1395	93038	40254
1396	93110	40190
1397	93178	40124
1398	93240	40055
1399	93306	39988
1400	93380	39925
1401	93457	39862
1402	93523	39795
1403	93588	39728
1404	93659	39663
1405	93724	39596
1406	93793	39530
1407	93855	39461
1408	93922	39395
1409	93984	39326
1410	94046	39258
1411	94110	39190
1412	94178	39124
1413	94247	39058
1414	94313	38991
1415	94384	38927
1416	94453	38861
1417	94517	38793
1418	94583	38726
1419	94652	38660
1420	94718	38593
1421	94784	38526
1422	94855	38462
1423	94924	38396
1424	94990	38329
1425	95056	38262
1426	95120	38194
1427	95179	38125
1428	95245	38058
1429	95310	37990
1430	95384	37927
1431	95455	37862
1432	95520	37794
1433	95590	37729
1434	95656	37662
1435	95723	37596
1436	95786	37528
1437	95853	37461
1438	95921	37395
1439	95994	37331
1440	96067	37266
1441	96133	37200
1442	96196	37132
1443	96265	37066
1444	96334	37000
1445	96405	36935
1446	96475	36870
1447	96542	36803
1448	96606	36735
1449	96670	36668
1450	96737	36601
1451	96802	36534
1452	96869	36467
1453	96936	36401
1454	97004	36334
1455	97070	36268
1456	97137	36201
1457	97198	36132
1458	97263	36065
1459	97330	35999
1460	97400	35933
1461	97469	35867
1462	97533	35799
1463	97597	35732
1464	97670	35667
1465	97737	35601
1466	97803	35534
1467	97870	35468
1468	97937	35401
1469	98004	35334
1470	98071	35268
1471	98137	35201
1472	98201	35133
1473	98265	35066
1474	98332	34999
1475	98404	34934
1476	98472	34868
1477	98534	34800
1478	98600	34733
1479	98663	34665
1480	98728	34598
1481	98789	34529
1482	98855	34462
1483	98920	34395
1484	98982	34327
1485	99049	34260
1486	99116	34194
1487	99179	34126
1488	99244	34059
1489	99310	33992
1490	99382	33927
1491	99451	33861
1492	99516	33794
1493	99584	33727
1494	99649	33660
1495	99714	33593
1496	99779	33526
1497	99846	33459
1498	99914	33393
1499	99978	33326
1500	100042	33258
1501	100115	33193
1502	100182	33127
1503	100248	33060
1504	100321	32996
1505	100392	32931
1506	100459	32864
1507	100527	32798
1508	100591	32730
1509	100653	32662
1510	100718	32595
1511	100785	32528
1512	100851	32461
1513	100922	32396
1514	100989	32329
1515	101054	32262
1516	101123	32196
1517	101188	32129
1518	101253	32062
1519	101321	31996
1520	101391	31930
1521	101456	31863
1522	101525	31797
1523	101592	31731
1524	101656	31663
1525	101721	31596
1526	101788	31529
1527	101855	31463
1528	101921	31396
1529	101986	31329
1530	102053	31262
1531	102119	31195
1532	102186	31129
1533	102252	31062
1534	102321	30996
1535	102396	30932
1536	102461	30865
1537	102529	30798
1538	102600	30733
1539	102667	30666
1540	102734	30600
1541	102799	30533
1542	102865	30466
1543	102932	30399
1544	102999	30333
1545	103063	30265
1546	103127	30198
1547	103195	30131
1548	103262	30065
1549	103345	30003
1550	103413	29937
1551	103480	29870
1552	103543	29802
1553	103609	29735
1554	103673	29668
1555	103741	29602
1556	103809	29535
1557	103875	29469
1558	103941	29402
1559	104006	29335
1560	104073	29268
1561	104142	29202
1562	104205	29134
1563	104274	29068
1564	104344	29003
1565	104409	28935
1566	104475	28869
1567	104537	28801
1568	104605	28734
1569	104670	28667
1570	104735	28600
1571	104801	28533
1572	104868	28467
1573	104932	28399
1574	104995	28332
1575	105064	28266
1576	105129	28199
1577	105194	28131
1578	105260	28064
1579	105331	27999
1580	105404	27934
1581	105470	27867
1582	105534	27800
1583	105600	27733
1584	105662	27665
1585	105728	27598
1586	105796	27532
1587	105895	27474
1588	106029	27424
1589	106093	27357
1590	106153	27289
1591	106218	27221
1592	106291	27156
1593	106361	27090
1594	106426	27023
1595	106494	26957
1596	106559	26890
1597	106626	26823
1598	106689	26755
1599	106757	26689
1600	106824	26622
1601	106898	26557
1602	106965	26491
1603	107032	26424
1604	107100	26357
1605	107168	26291
1606	107237	26225
1607	107311	26160
1608	107382	26094
1609	107448	26027
1610	107513	25960
1611	107578	25893
1612	107637	25825
1613	107707	25759
1614	107771	25691
1615	107839	25625
1616	107907	25558
1617	107975	25492
1618	108039	25425
1619	108106	25358
1620	108173	25291
1621	108239	25224
1622	108310	25159
1623	108378	25092
1624	108444	25025
1625	108510	24958
1626	108573	24891
1627	108646	24825
1628	108711	24758
1629	108778	24692
1630	108844	24625
1631	108911	24558
1632	108978	24491
1633	109047	24425
1634	109111	24358
1635	109181	24292
1636	109247	24225
1637	109317	24159
1638	109387	24093
1639	109457	24027
1640	109523	23960
1641	109591	23893
1642	109654	23826
1643	109719	23759
1644	109783	23691
1645	109848	23624
1646	109918	23558
1647	109989	23492
1648	110059	23426
1649	110124	23359
1650	110187	23292
1651	110255	23225
1652	110326	23159
1653	110393	23093
1654	110467	23028
1655	110534	22961
1656	110598	22893
1657	110665	22827
1658	110731	22760
1659	110796	22693
1660	110865	22626
1661	110931	22560
1662	111001	22493
