iter	R2	RMSE
67	0.5020477099	0.7213577728
68	0.5047865763	0.7193712102
69	0.5075731144	0.7173444244
70	0.5103424623	0.7153244522
71	0.5128527627	0.7134884888
72	0.5154137743	0.7116105554
73	0.5177840888	0.7098680291
74	0.5202216551	0.7080715904
75	0.5224426151	0.7064308089
76	0.5246923024	0.7047649101
77	0.5269486575	0.7030901091
78	0.5291047006	0.7014860297
79	0.5311496608	0.6999611984
80	0.5332507571	0.6983910415
81	0.5354466154	0.6967462871
82	0.5374503219	0.6952420642
83	0.5394035762	0.6937725774
84	0.54123843	0.6923893257
85	0.5430738388	0.6910028854
86	0.544973389	0.6895650582
87	0.5467270597	0.688234985
88	0.5486295454	0.6867891299
89	0.5503762854	0.6854589532
90	0.5521503952	0.6841052864
91	0.5538503262	0.6828057012
92	0.5555736918	0.6814856706
93	0.5573415443	0.6801289028
94	0.5588627142	0.6789592855
95	0.5602022942	0.6779276205
96	0.5617133602	0.6767619996
97	0.5632811795	0.6755504739
98	0.5647275327	0.6744308806
99	0.5662410146	0.6732573308
100	0.5676968304	0.6721265618
101	0.5689457666	0.6711549632
102	0.5702114641	0.6701688881
103	0.5715230054	0.6691455642
104	0.5728543299	0.6681052015
105	0.574128496	0.6671079857
106	0.5752962603	0.6661927335
107	0.5765471139	0.6652109621
108	0.5777814435	0.6642407375
109	0.5789868081	0.6632919108
110	0.5801267478	0.662393334
111	0.5812686946	0.6614919513
112	0.5823930316	0.6606032671
113	0.5833693323	0.6598306209
114	0.5842899379	0.6591012223
115	0.5853415008	0.658267077
116	0.5864810673	0.6573619282
117	0.5874620965	0.656581705
118	0.5884942797	0.6557597962
119	0.5895708051	0.6549014796
120	0.5905413571	0.6541266905
121	0.5915497043	0.6533207564
122	0.5925058483	0.6525556269
123	0.5933748283	0.6518594691
124	0.5942489701	0.6511584252
125	0.5951866722	0.6504055672
126	0.5960310209	0.649726914
127	0.5968842614	0.649040393
128	0.5977114719	0.6483741219
129	0.5985090786	0.647731046
130	0.5992288872	0.6471501468
131	0.60000653	0.6465219877
132	0.6007685092	0.6459058887
133	0.6016218102	0.6452152531
134	0.6024283281	0.644561802
135	0.6031489629	0.6439773737
136	0.6038932051	0.6433732427
137	0.6046463984	0.6427612675
138	0.6054158165	0.6421355075
139	0.606149753	0.6415380354
140	0.6068802947	0.6409427739
141	0.607598539	0.6403569931
142	0.6083106084	0.6397757189
143	0.6089933952	0.6392178522
144	0.6096604223	0.6386723913
145	0.6101823761	0.6382452388
146	0.6109000203	0.6376574717
147	0.611454637	0.6372028564
148	0.6121221572	0.6366552644
149	0.6127946919	0.6361030822
150	0.6134388913	0.6355737147
151	0.6140105865	0.6351035576
152	0.6145103708	0.6346922541
153	0.6151670464	0.6341514295
154	0.6157593462	0.6336632276
155	0.616388062	0.6331445979
156	0.6169304008	0.6326968794
157	0.6174598943	0.6322594592
158	0.6179948877	0.6318171879
159	0.6185061507	0.6313942448
160	0.6190019798	0.6309837985
161	0.6195370085	0.6305406033
162	0.6200339942	0.630128642
163	0.6205675279	0.6296860853
164	0.621078973	0.6292615586
165	0.6215524622	0.6288682818
166	0.6220253414	0.628475266
167	0.6225316051	0.6280542314
168	0.6229713969	0.627688249
169	0.6234052141	0.6273270293
170	0.6239161502	0.6269013293
171	0.6243399099	0.6265480431
172	0.6248203179	0.6261472886
173	0.6253143998	0.6257348596
174	0.6257260625	0.6253910213
175	0.6261966941	0.624997698
176	0.6266454556	0.6246224216
177	0.6270533617	0.6242811147
178	0.6274202511	0.6239739682
179	0.6278810329	0.6235880042
180	0.6282894917	0.6232456675
181	0.6286747464	0.6229226062
182	0.6291722919	0.6225051336
183	0.629549691	0.6221882847
184	0.6299799781	0.6218268363
185	0.6303282882	0.6215340959
186	0.6307327542	0.6211939858
187	0.6311672574	0.6208284101
188	0.6315839361	0.6204776291
189	0.6319803845	0.6201436947
190	0.6324456584	0.6197515581
191	0.6328074258	0.6194464861
192	0.633125296	0.6191783077
193	0.6334442448	0.6189091026
194	0.6337663712	0.6186370965
195	0.6341735717	0.6182930819
196	0.6345667581	0.6179607252
197	0.6349354836	0.6176488824
198	0.635243989	0.6173878487
199	0.6355844866	0.6170996175
200	0.635917254	0.6168177997
201	0.6362869867	0.6165045253
202	0.6365935002	0.6162446957
203	0.6369747162	0.6159213883
204	0.6372988874	0.6156463268
205	0.6376173884	0.6153759568
206	0.6379217293	0.615117496
207	0.6382298856	0.6148556842
208	0.6385206252	0.6146085676
209	0.6388384372	0.6143383269
210	0.6391204461	0.6140984304
211	0.6394390153	0.6138273205
212	0.6397932766	0.6135256951
213	0.6400697733	0.6132901771
214	0.6402981343	0.6130955924
215	0.6405546986	0.6128769023
216	0.6407668462	0.6126960131
217	0.6410365791	0.6124659462
218	0.64133887	0.6122080064
219	0.6416151959	0.6119721271
220	0.641878007	0.6117476999
221	0.6422345404	0.6114431071
222	0.6424712772	0.6112407747
223	0.6427656461	0.6109890924
224	0.6430246693	0.6107675445
225	0.6432854482	0.6105444136
226	0.6435456768	0.6103216724
227	0.6438390533	0.6100704608
228	0.6440937657	0.6098522726
229	0.6443998172	0.6095900035
230	0.6446664765	0.6093613994
231	0.6449099914	0.6091525618
232	0.6451606996	0.6089374804
233	0.6453889741	0.6087415787
234	0.6456409449	0.6085252679
235	0.6459147665	0.6082901116
236	0.6461844649	0.6080584073
237	0.6463937217	0.607878569
238	0.6466113201	0.6076915054
239	0.6467766783	0.6075493127
240	0.6470347947	0.6073272901
241	0.6473132584	0.6070876745
242	0.6475490789	0.606884679
243	0.6477758469	0.6066894119
244	0.6480097801	0.6064879089
245	0.6482007151	0.6063233938
246	0.6483743867	0.6061737145
247	0.6486020244	0.6059774684
248	0.6488746589	0.6057423469
249	0.649085619	0.6055603511
250	0.6492765515	0.605395586
251	0.6494442213	0.6052508584
252	0.6496034672	0.6051133701
253	0.6497383976	0.6049968506
254	0.6499664661	0.6047998504
255	0.650117144	0.6046696632
256	0.6502972542	0.6045140094
257	0.6505461165	0.604298873
258	0.6507295053	0.6041402882
259	0.6509484325	0.6039509171
260	0.6511120272	0.6038093696
261	0.6513231062	0.6036266881
262	0.6515148234	0.6034607157
263	0.6517393653	0.6032662682
264	0.6519397489	0.6030926884
265	0.6521554622	0.6029057735
266	0.6523475376	0.602739292
267	0.6525410946	0.6025714799
268	0.6526810785	0.6024500859
269	0.652878876	0.6022785144
270	0.6530850516	0.6020996235
271	0.6533049037	0.6019088075
272	0.653464858	0.6017699406
273	0.6536861853	0.6015777387
274	0.6538786876	0.6014105187
275	0.653886091	0.6014040867
276	0.654077371	0.6012378806
277	0.6542368693	0.601099255
278	0.6544456698	0.6009177308
279	0.6546555424	0.6007352192
280	0.6548052695	0.6006049781
281	0.6548107587	0.6006002027
282	0.6549886757	0.6004454025
283	0.6552141497	0.600249167
284	0.6553451789	0.6001350996
285	0.6555170186	0.5999854717
286	0.6557721608	0.5997632402
287	0.6557775689	0.5997585288
288	0.6559441614	0.5996133794
289	0.6560770325	0.5994975857
290	0.6563333932	0.5992741109
291	0.6564537143	0.5991691958
292	0.656634782	0.5990112775
293	0.6568080964	0.5988600822
294	0.6569640928	0.5987239621
295	0.6571645928	0.5985489634
296	0.6573398297	0.5983959727
297	0.6574806501	0.598273001
298	0.6575991028	0.5981695423
299	0.6576043979	0.5981649171
300	0.6577787524	0.598012599
301	0.6579006577	0.5979060782
302	0.6580419922	0.5977825563
303	0.6581943225	0.597649396
304	0.6582525134	0.5975985202
305	0.6582577186	0.5975939691
306	0.6582628968	0.5975894416
307	0.6584450947	0.5974301173
308	0.6585337788	0.5973525515
309	0.6587156396	0.5971934588
310	0.6588313709	0.5970921946
311	0.6589894004	0.5969538919
312	0.6591397095	0.596822316
313	0.6592618678	0.5967153612
314	0.6592668984	0.5967109563
315	0.6593735086	0.5966175981
316	0.65958554	0.5964318794
317	0.6596767883	0.5963519372
318	0.6596820153	0.5963473575
319	0.6598811344	0.5961728714
320	0.6599918711	0.5960758118
321	0.6601239522	0.5959600234
322	0.660252591	0.595847231
323	0.6604117515	0.5957076472
324	0.6604686797	0.5956577132
325	0.6606221413	0.5955230851
326	0.6608053273	0.5953623407
327	0.6609920801	0.5951984217
328	0.6611063984	0.5950980586
329	0.6612501544	0.5949718272
330	0.6614051479	0.5948356983
331	0.661409913	0.5948315126
332	0.6615373906	0.5947195265
333	0.6615663492	0.594694084
334	0.6615710418	0.5946899611
335	0.6615855565	0.5946772083
336	0.6616729801	0.594600391
337	0.6616771021	0.5945967688
338	0.6617605127	0.5945234679
339	0.6619108062	0.5943913679
340	0.662029163	0.5942873178
341	0.6622029374	0.5941345158
342	0.6623324533	0.5940206054
343	0.6623370222	0.5940165866
344	0.6624259138	0.5939383923
345	0.6625810364	0.593801913
346	0.6626979422	0.5936990365
347	0.6628317915	0.593581228
348	0.6629384224	0.5934873593
349	0.6629429571	0.593483367
350	0.6629721914	0.5934576289
351	0.6629882995	0.5934434466
352	0.6631314195	0.5933174233
353	0.6632944992	0.5931737921
354	0.6633286878	0.5931436763
355	0.6634320598	0.5930526095
356	0.6635871598	0.5929159461
357	0.6635915625	0.5929120662
358	0.6635954623	0.5929086296
359	0.6637313198	0.592788894
360	0.6637356793	0.5927850514
361	0.6638073283	0.5927218946
362	0.6639239125	0.5926191143
363	0.6640498848	0.5925080374
364	0.6642419306	0.5923386596
365	0.6643739739	0.592222174
366	0.6644206458	0.5921809955
367	0.6645617807	0.5920564554
368	0.6647363202	0.5919024021
369	0.6648422744	0.5918088645
370	0.6648948919	0.5917624077
371	0.6649503374	0.5917134501
372	0.6651651787	0.5915237097
373	0.6651693548	0.591520021
374	0.6652729289	0.5914285256
375	0.6653873499	0.5913274319
376	0.6653943909	0.5913212105
377	0.6654965826	0.591230906
378	0.6655347884	0.5911971409
379	0.6655832575	0.5911543026
380	0.6656435812	0.5911009826
381	0.6657493414	0.5910074897
382	0.6658993724	0.5908748357
383	0.6660619181	0.5907310827
384	0.6661553402	0.5906484459
385	0.666268262	0.590548545
386	0.6663762791	0.5904529676
387	0.6664925235	0.5903500929
388	0.6666233873	0.5902342588
389	0.6667559838	0.5901168679
390	0.6668948886	0.589993867
391	0.6669931139	0.5899068726
392	0.6669970896	0.5899033512
393	0.6670698976	0.5898388592
394	0.6671870043	0.5897351135
395	0.6673107997	0.5896254223
396	0.6673953733	0.5895504727
397	0.6674778212	0.5894773976
398	0.6675417026	0.5894207721
399	0.667661612	0.5893144678
400	0.6678100529	0.5891828428
401	0.6679125064	0.5890919783
402	0.6679328567	0.5890739283
403	0.6680663349	0.5889555238
404	0.668201568	0.5888355384
405	0.6682050051	0.5888324886
406	0.6683234886	0.5887273435
407	0.6683268986	0.5887243172
408	0.6684661899	0.5886006822
409	0.6685412766	0.5885340245
410	0.668657235	0.5884310683
411	0.6687725418	0.5883286729
412	0.6688385378	0.5882700586
413	0.668842249	0.5882667624
414	0.668845559	0.5882638224
415	0.6688492351	0.5882605573
416	0.6688656506	0.5882459768
417	0.6688692896	0.5882427445
418	0.668992982	0.5881328664
419	0.6691479781	0.5879951519
420	0.6692729413	0.5878840982
421	0.6693174184	0.5878445668
422	0.6694609565	0.5877169712
423	0.6695564427	0.5876320752
424	0.66966557	0.5875350358
425	0.6696687652	0.5875321944
426	0.6697437081	0.5874655433
427	0.6697816724	0.5874317765
428	0.6698807815	0.5873436164
429	0.6698842988	0.5873404874
430	0.6699902377	0.5872462368
431	0.6700407299	0.5872013101
432	0.6701154761	0.5871347965
433	0.6701613108	0.5870940064
434	0.6703193817	0.5869533109
435	0.670329186	0.5869445832
436	0.6703322802	0.5869418288
437	0.6704524849	0.5868348126
438	0.6704559117	0.5868317614
439	0.6705461558	0.5867514054
440	0.670616599	0.586688673
441	0.6707102794	0.5866052366
442	0.670770174	0.5865518852
443	0.6708399862	0.5864896937
444	0.6708630007	0.5864691899
445	0.6709768542	0.5863677469
446	0.6710605711	0.5862931442
447	0.671160196	0.586204353
448	0.6712250025	0.5861465867
449	0.6713381396	0.5860457265
450	0.671352101	0.5860332789
451	0.6715081776	0.5858941073
452	0.6716025765	0.5858099168
453	0.6717187604	0.5857062806
454	0.6717919539	0.5856409826
455	0.6718948532	0.5855491707
456	0.671999974	0.5854553619
457	0.6720032419	0.5854524454
458	0.6720592539	0.5854024544
459	0.6721889713	0.5852866646
460	0.6722768288	0.5852082273
461	0.6724069766	0.5850920146
462	0.6725448608	0.5849688688
463	0.6726094581	0.5849111674
464	0.6727169628	0.5848151263
465	0.6727672218	0.5847702212
466	0.6728309182	0.5847133052
467	0.6729259519	0.5846283774
468	0.6730053495	0.5845574134
469	0.6730087248	0.5845543965
470	0.6730795787	0.5844910612
471	0.6731781857	0.5844029063
472	0.6733144328	0.5842810792
473	0.6734059908	0.5841991972
474	0.6734798225	0.5841331598
475	0.6734829472	0.5841303648
476	0.673571205	0.5840514139
477	0.6735858503	0.584038312
478	0.6736810075	0.5839531755
479	0.6737914517	0.5838543463
480	0.6737945246	0.5838515964
481	0.6737988128	0.5838477588
482	0.6738682394	0.5837856242
483	0.6739225118	0.5837370476
484	0.6740784164	0.5835974824
485	0.6740896255	0.5835874468
486	0.6741134152	0.583566147
487	0.6742356376	0.5834567047
488	0.6744062853	0.5833038663
489	0.6744518337	0.5832630647
490	0.6745184905	0.5832033494
491	0.6745597583	0.583166376
492	0.6745736704	0.5831539112
493	0.6746963659	0.5830439675
494	0.6747712157	0.5829768867
495	0.6748148168	0.5829378077
496	0.6748898544	0.5828705464
497	0.6748941712	0.5828666767
498	0.6749827716	0.5827872476
499	0.6750814028	0.5826988132
500	0.6751323344	0.5826531418
501	0.6752675466	0.5825318771
502	0.6753658783	0.5824436726
503	0.6755153886	0.5823095349
504	0.6755835899	0.5822483358
505	0.6755962727	0.5822369544
506	0.6756072608	0.5822270936
507	0.6756193148	0.5822162762
508	0.6757125635	0.5821325862
509	0.6757259674	0.5821205553
510	0.6758296699	0.5820274671
511	0.6758753581	0.5819864505
512	0.6760696983	0.5818119493
513	0.6761765065	0.5817160221
514	0.6762259756	0.5816715873
515	0.6762871598	0.5816166249
516	0.6763784938	0.5815345689
517	0.6764775081	0.5814455998
518	0.676515899	0.5814111001
519	0.6765790843	0.5813543146
520	0.676581846	0.5813518324
521	0.6766214158	0.5813162676
522	0.6766898296	0.5812547728
523	0.6767475953	0.5812028442
524	0.6768611678	0.5811007344
525	0.6769375845	0.5810320203
526	0.677029075	0.5809497411
527	0.6770580747	0.5809236586
528	0.6771297702	0.5808591703
529	0.677193384	0.5808019453
530	0.677204971	0.5807915215
531	0.67722674	0.580771937
532	0.6773083862	0.5806984787
533	0.6773525327	0.5806587554
534	0.6774597982	0.5805622262
535	0.6775326546	0.5804966529
536	0.6776265162	0.5804121633
537	0.6776546041	0.5803868775
538	0.6776715135	0.5803716546
539	0.6776927001	0.5803525803
540	0.6777037164	0.5803426622
541	0.677816811	0.5802408314
542	0.6778334277	0.5802258681
543	0.6778784051	0.5801853643
544	0.6779890491	0.5800857132
545	0.6779981294	0.5800775343
546	0.6780567946	0.5800246901
547	0.6780659228	0.5800164671
548	0.6781354691	0.5799538142
549	0.6781389201	0.5799507051
550	0.6781562277	0.5799351119
551	0.6782507292	0.5798499638
552	0.6783091993	0.5797972747
553	0.6783511281	0.5797594884
554	0.6783692299	0.5797431742
555	0.6785133005	0.5796133152
556	0.6785214469	0.5796059716
557	0.6786010584	0.5795341998
558	0.678617194	0.5795196521
559	0.6786245764	0.5795129961
560	0.678654907	0.5794856489
561	0.6786711059	0.5794710429
562	0.6786839752	0.5794594388
563	0.678696388	0.5794482461
564	0.6788167059	0.5793397436
565	0.678910091	0.579255515
566	0.6790408431	0.5791375627
567	0.6790756922	0.579106121
568	0.6791839557	0.5790084323
569	0.679218959	0.5789768445
570	0.6793355465	0.5788716207
571	0.6794654733	0.5787543352
572	0.6794805971	0.5787406814
573	0.679536278	0.5786904096
574	0.6795538104	0.5786745794
575	0.6795655604	0.57866397
576	0.6795679264	0.5786618337
577	0.6796040066	0.5786292545
578	0.679606349	0.5786271393
579	0.6796256968	0.5786096681
580	0.6796413644	0.5785955197
581	0.6797804132	0.578469939
582	0.6798877546	0.5783729759
583	0.6799946082	0.5782764372
584	0.6800323808	0.5782423072
585	0.6800823794	0.5781971269
586	0.6801794705	0.5781093823
587	0.6802346618	0.5780594981
588	0.680364419	0.5779422012
589	0.6804072473	0.5779034803
590	0.680409491	0.5779014517
591	0.680421329	0.5778907486
592	0.6804880014	0.577830464
593	0.6805672828	0.5777587701
594	0.6806303739	0.5777017109
595	0.680644064	0.5776893289
596	0.680661355	0.5776736896
597	0.6806636574	0.5776716071
598	0.6807807803	0.5775656611
599	0.6807882748	0.5775588812
600	0.680852206	0.577501042
601	0.6809409335	0.5774207598
602	0.6810169763	0.5773519461
603	0.6810243612	0.5773452628
604	0.6810351768	0.5773354746
605	0.6810373375	0.5773335191
606	0.6811172463	0.5772611957
607	0.6812402606	0.5771498409
608	0.6812494713	0.5771415024
609	0.6813102162	0.5770865063
610	0.6813243711	0.5770736903
611	0.6813368417	0.5770623989
612	0.6813582255	0.5770430368
613	0.6813603308	0.5770411306
614	0.6813923657	0.5770121229
615	0.6814532657	0.576956974
616	0.6814554484	0.5769549974
617	0.6815043214	0.5769107358
618	0.6815200463	0.5768964938
619	0.6815679132	0.576853139
620	0.6817062996	0.576727779
621	0.6818213768	0.5766235134
622	0.6818361755	0.5766101036
623	0.6819547568	0.5765026408
624	0.6820522354	0.576414287
625	0.6820659384	0.5764018657
626	0.6820916921	0.57637852
627	0.6821299404	0.5763438462
628	0.6821833852	0.5762953926
629	0.6822395348	0.5762444825
630	0.6822421534	0.5762421081
631	0.6822989598	0.5761905976
632	0.6823146115	0.5761764044
633	0.6824210947	0.5760798336
634	0.6824375153	0.5760649401
635	0.6824567886	0.5760474587
636	0.6825314392	0.5759797439
637	0.682623987	0.5758957835
638	0.6826417437	0.575879673
639	0.6826685173	0.5758553808
640	0.6826704462	0.5758536306
641	0.6826788164	0.575846036
642	0.6826807261	0.5758443032
643	0.6826983043	0.5758283532
644	0.6827885732	0.5757464389
645	0.6829346786	0.5756138312
646	0.6829371394	0.5756115975
647	0.6830406359	0.5755176435
648	0.6830719214	0.5754892395
649	0.6830737855	0.5754875471
650	0.6830986694	0.5754649541
651	0.6831126115	0.5754522951
652	0.6831319991	0.5754346913
653	0.6831500102	0.5754183369
654	0.6831617018	0.5754077205
655	0.6832185214	0.5753561234
656	0.6833154739	0.5752680714
657	0.6833287951	0.5752559721
658	0.6834480006	0.5751476892
659	0.6834907315	0.5751088687
660	0.6835727681	0.5750343322
661	0.6835804446	0.5750273569
662	0.6836660219	0.5749495921
663	0.6836734328	0.5749428573
664	0.6837515854	0.5748718293
665	0.6837588963	0.5748651845
666	0.6838293107	0.574801181
667	0.6838489378	0.5747833396
668	0.6838738955	0.5747606518
669	0.6839241478	0.5747149672
670	0.6839335649	0.5747064057
671	0.68394845	0.5746928727
672	0.6839816172	0.574662717
673	0.6839965957	0.5746490981
674	0.6840652917	0.5745866332
675	0.6840812827	0.5745720917
676	0.6841478931	0.5745115152
677	0.684219742	0.5744461676
678	0.6843086103	0.5743653303
679	0.6843242543	0.5743510988
680	0.6844135162	0.57426989
681	0.6844405432	0.5742452992
682	0.6845511308	0.5741446684
683	0.6846156229	0.5740859748
684	0.6846304817	0.574072451
685	0.6846429711	0.5740610836
686	0.6846522117	0.5740526729
687	0.6846654339	0.5740406381
688	0.6846805369	0.5740268911
689	0.6846927928	0.5740157353
690	0.6847422539	0.5739707116
691	0.6847683196	0.5739469829
692	0.684799796	0.5739183275
693	0.6848227945	0.5738973892
694	0.6848836616	0.5738419709
695	0.6849037408	0.5738236881
696	0.6849945791	0.573740969
697	0.6851060084	0.5736394831
698	0.6852339604	0.5735229268
699	0.6852494242	0.5735088386
700	0.6852712652	0.57348894
701	0.6852811274	0.5734799546
702	0.68540155	0.5733702272
703	0.6854217549	0.5733518148
704	0.6854732555	0.5733048802
705	0.6855072285	0.5732739172
706	0.6856024889	0.5731870877
707	0.6856110075	0.5731793224
708	0.68568381	0.5731129536
709	0.6857094881	0.5730895428
710	0.6857215915	0.5730785078
711	0.6857327501	0.573068334
712	0.685861286	0.572951129
713	0.6859267462	0.5728914301
714	0.6859371822	0.5728819121
715	0.6859448208	0.5728749452
716	0.6859562012	0.5728645656
717	0.6860291805	0.5727979989
718	0.6861542557	0.572683896
719	0.6862179369	0.5726257925
720	0.6863141837	0.5725379646
721	0.6863222696	0.5725305854
722	0.6863869756	0.5724715311
723	0.6864984753	0.5723697558
724	0.6865675812	0.5723066679
725	0.6865783008	0.5722968812
726	0.6866495485	0.5722318296
727	0.6866704144	0.5722127769
728	0.686683046	0.5722012427
729	0.686690766	0.5721941932
730	0.6867033582	0.5721826946
731	0.6867186203	0.5721687577
732	0.6868074261	0.5720876556
733	0.6868165034	0.5720793651
734	0.6868240889	0.572072437
735	0.6868813378	0.5720201469
736	0.686939481	0.571967035
737	0.6869555143	0.5719523883
738	0.6869660686	0.5719427465
739	0.6869764967	0.5719332198
740	0.686999857	0.5719118784
741	0.6870121764	0.5719006233
742	0.6870340361	0.5718806516
743	0.6871266044	0.5717960706
744	0.687139365	0.5717844101
745	0.6871883077	0.5717396844
746	0.6873348286	0.5716057674
747	0.6873425195	0.5715987373
748	0.6873618105	0.5715811031
749	0.6873804568	0.5715640578
750	0.6873907678	0.5715546319
751	0.6874003921	0.5715458336
752	0.6874146368	0.5715328113
753	0.6874829664	0.5714703407
754	0.6874954543	0.5714589228
755	0.6875053303	0.571449893
756	0.687516868	0.5714393435
757	0.6876177085	0.5713471324
758	0.6876279736	0.5713377449
759	0.6876718	0.5712976635
760	0.6877215306	0.5712521791
761	0.6878395805	0.5711441944
762	0.6878566298	0.5711285971
763	0.6878695546	0.5711167727
764	0.6878770262	0.5711099371
765	0.6880001232	0.570997307
766	0.6880170225	0.570981843
767	0.6881120786	0.5708948519
768	0.6882224853	0.5707937961
769	0.6882303904	0.5707865598
770	0.6882869966	0.5707347402
771	0.6883552653	0.5706722381
772	0.6884853658	0.5705531081
773	0.6885674364	0.5704779452
774	0.6886524932	0.5704000369
775	0.6886667206	0.5703870042
776	0.6886754726	0.570378987
777	0.6887251509	0.5703334773
778	0.6887989568	0.5702658578
779	0.688807714	0.5702578341
780	0.6888160922	0.5702501575
781	0.6888309281	0.5702365638
782	0.6889049537	0.5701687316
783	0.6889470359	0.5701301665
784	0.6889632746	0.5701152844
785	0.689046417	0.5700390813
786	0.6890534527	0.5700326324
787	0.6890708577	0.5700166785
788	0.6891658268	0.5699296199
789	0.689209694	0.5698894022
790	0.6892180398	0.5698817504
791	0.6892249531	0.5698754119
792	0.6892887253	0.5698169386
793	0.6892984019	0.5698080656
794	0.6893568983	0.5697544235
795	0.689460139	0.5696597381
796	0.6894703367	0.5696503847
797	0.6895375486	0.569588733
798	0.6895911263	0.5695395828
799	0.6895997693	0.5695316537
800	0.6897286288	0.5694134237
801	0.6897428297	0.5694003927
802	0.6898255808	0.5693244531
803	0.6898430254	0.5693084431
804	0.6899280369	0.5692304163
805	0.6900292952	0.5691374637
806	0.6901208361	0.5690534183
807	0.6901957555	0.5689846243
808	0.6902022206	0.5689786873
809	0.6902904995	0.5688976144
810	0.6903981995	0.5687986902
811	0.6904569183	0.5687447486
812	0.6904653228	0.5687370275
813	0.6905460892	0.5686628228
814	0.6906375536	0.5685787776
815	0.6907314623	0.5684924735
816	0.690787282	0.5684411677
817	0.6909175219	0.5683214418
818	0.690995077	0.5682501356
819	0.691073128	0.5681783644
820	0.6911968182	0.5680646076
821	0.6912658949	0.5680010683
822	0.6913420925	0.5679309708
823	0.691347674	0.5679258358
824	0.6913985533	0.5678790244
825	0.6914062881	0.5678719078
826	0.6914146435	0.5678642199
827	0.6915145326	0.5677723036
828	0.6915307692	0.5677573616
829	0.6915400537	0.5677488172
830	0.691602747	0.5676911178
831	0.6917196305	0.5675835293
832	0.6918042409	0.5675056347
833	0.6918830342	0.5674330858
834	0.6920005638	0.5673248533
835	0.6920880536	0.567244271
836	0.6921858751	0.567154159
837	0.6921936972	0.5671469527
838	0.6923140603	0.5670360547
839	0.6924353502	0.5669242808
840	0.6925577076	0.5668115008
841	0.6926674043	0.5667103714
842	0.6927276397	0.5666548327
843	0.6927831077	0.5666036849
844	0.6928872778	0.5665076157
845	0.692955367	0.5664448127
846	0.6930439749	0.5663630735
847	0.6931249116	0.5662884007
848	0.6931441283	0.5662706698
849	0.6931503681	0.5662649123
850	0.6932652673	0.566158884
851	0.6932961323	0.5661303986
852	0.6934172843	0.5660185731
853	0.693500514	0.5659417378
854	0.6935451726	0.5659005059
855	0.6936444069	0.5658088754
856	0.6936943034	0.5657627965
857	0.6937705087	0.5656924145
858	0.6938272783	0.5656399773
859	0.6939677577	0.5655101979
860	0.6940394464	0.565443958
861	0.6941058159	0.5653826261
862	0.6941431202	0.5653481504
863	0.6942727071	0.565228373
864	0.6943629293	0.5651449655
865	0.6943712387	0.5651372831
866	0.6943849317	0.5651246231
867	0.6944940235	0.5650237512
868	0.6945921951	0.5649329612
869	0.6946111897	0.5649153932
870	0.694616811	0.5649101939
871	0.6946225564	0.5649048798
872	0.6946345175	0.5648938166
873	0.6946400822	0.5648886695
874	0.6947560809	0.5647813657
875	0.6948027869	0.5647381548
876	0.6948079822	0.5647333481
877	0.6948598163	0.5646853887
878	0.6949771745	0.564576788
879	0.695039403	0.5645191947
880	0.6950476465	0.5645115648
881	0.6951685825	0.5643996186
882	0.6952275347	0.5643450405
883	0.6952677929	0.5643077664
